Participante,Título del Resumen
"MSc. Yataria Abreu Vázquez","La utilización del Aula Virtual por los estudiantes del Colegio Universitario de la FCM “Julio Trigo López”"
"Dr. C. Sonia Rabelo Padua","La utilización del Aula Virtual por los estudiantes del Colegio Universitario de la FCM “Julio Trigo López”"
"Mayda Hernández Pérez","EL CLASISMO DE LA SEGURIDAD NACIONAL"
"Elsa Agüero Argilago","EL CLASISMO DE LA SEGURIDAD NACIONAL"
"Ana María Solanelles","EL CLASISMO DE LA SEGURIDAD NACIONAL"
"Eloy Hermida Hidalgo","EL CLASISMO DE LA SEGURIDAD NACIONAL"
"Lizt Aurora Guzmán López","EL CLASISMO DE LA SEGURIDAD NACIONAL"
"Mayda Hernández Pérez","PROTECCIÓN MÉDICA CONTRA LAS ARMAS DE EXTERMINIO EN MASA, UNA ACTUALIZACIÓN"
"Elsa Agüero Argilago","PROTECCIÓN MÉDICA CONTRA LAS ARMAS DE EXTERMINIO EN MASA, UNA ACTUALIZACIÓN"
"Ana María Solanelles","PROTECCIÓN MÉDICA CONTRA LAS ARMAS DE EXTERMINIO EN MASA, UNA ACTUALIZACIÓN"
"Sulami Fleites Rivero","PROTECCIÓN MÉDICA CONTRA LAS ARMAS DE EXTERMINIO EN MASA, UNA ACTUALIZACIÓN"
"Eloy Hermida Hidalgo","PROTECCIÓN MÉDICA CONTRA LAS ARMAS DE EXTERMINIO EN MASA, UNA ACTUALIZACIÓN"
"Elsa Agüero Argilago","GESTIÓN PARA LA REDUCCIÓN DEL RIESGO DE DESASTRES POR PELIGROS HIDROMETEOROLÓGICOS"
"Mayda Hernández Pérez","GESTIÓN PARA LA REDUCCIÓN DEL RIESGO DE DESASTRES POR PELIGROS HIDROMETEOROLÓGICOS"
"Ana María Solanelles","GESTIÓN PARA LA REDUCCIÓN DEL RIESGO DE DESASTRES POR PELIGROS HIDROMETEOROLÓGICOS"
"Eloy Hermida Hidalgo","GESTIÓN PARA LA REDUCCIÓN DEL RIESGO DE DESASTRES POR PELIGROS HIDROMETEOROLÓGICOS"
"Maura Perdomo Ortiz","GESTIÓN PARA LA REDUCCIÓN DEL RIESGO DE DESASTRES POR PELIGROS HIDROMETEOROLÓGICOS"
"Mayda Hernández Pérez","LA RESILIENCIA MÉDICA CUBANA: UN LEGADO DE INTRANSIGENCIA"
"Ana María Solanelles","LA RESILIENCIA MÉDICA CUBANA: UN LEGADO DE INTRANSIGENCIA"
"Eloy Hermida Hidalgo","LA RESILIENCIA MÉDICA CUBANA: UN LEGADO DE INTRANSIGENCIA"
"Laura Lliteras Achang","LA RESILIENCIA MÉDICA CUBANA: UN LEGADO DE INTRANSIGENCIA"
"Ana María Solanelles","VISIONES PARALELAS. PENSAMIENTO ANTIIMPERIALISTA DE JOSÉ MARTÍ Y FIDEL CASTRO"
"Karla Daily Fernández López","VISIONES PARALELAS. PENSAMIENTO ANTIIMPERIALISTA DE JOSÉ MARTÍ Y FIDEL CASTRO"
"Eloy Hermida Hidalgo","VISIONES PARALELAS. PENSAMIENTO ANTIIMPERIALISTA DE JOSÉ MARTÍ Y FIDEL CASTRO"
"Sulami Fleites Rivero","VISIONES PARALELAS. PENSAMIENTO ANTIIMPERIALISTA DE JOSÉ MARTÍ Y FIDEL CASTRO"
"Mayda Hernández Pérez","VISIONES PARALELAS. PENSAMIENTO ANTIIMPERIALISTA DE JOSÉ MARTÍ Y FIDEL CASTRO"
"DraC.  Mercedes  Esquivel Lauzurique","Grupo DOHaD Cuba: una contribución desde las sociedades científicas al perfeccionamiento del Sistema Nacional de Salud"
"DraC.  Mercedes  Esquivel Lauzurique","Estudio Nacional de Cohorte del Niño Cubano: resultados preliminares de las relaciones entre el peso al nacer y la presión arterial en la salud adulta."
"MSc. Vilma Tamayo Pérez","Estudio Nacional de Cohorte del Niño Cubano: resultados preliminares de las relaciones entre el peso al nacer y la presión arterial en la salud adulta."
"MsC. Maida Rancel Hernández","Estudio Nacional de Cohorte del Niño Cubano: resultados preliminares de las relaciones entre el peso al nacer y la presión arterial en la salud adulta."
"DrC Tamara Ivet Espinosa Hernández","Uso de los medios digitales para el desarrollo del proceso enseñanza aprendizaje en la disciplina de investigaciones diagnósticas"
"Monica de Regla Rodríguez Espinosa","Uso de los medios digitales para el desarrollo del proceso enseñanza aprendizaje en la disciplina de investigaciones diagnósticas"
"Jordan Jorge Zayas Dros","Uso de los medios digitales para el desarrollo del proceso enseñanza aprendizaje en la disciplina de investigaciones diagnósticas"
"Ana Iris Testa González","REFERENTES TEÓRICOS QUE SUSTENTAN EL USO DE LOS EVEAs COMO ALTERNATIVA METODOLÓGICA PARA DESARROLLAR LA COMPRENSIÓN AUDITIVA."
"Ana Margarita Fuertes Elizarde","REFERENTES TEÓRICOS QUE SUSTENTAN EL USO DE LOS EVEAs COMO ALTERNATIVA METODOLÓGICA PARA DESARROLLAR LA COMPRENSIÓN AUDITIVA."
"Marelys Beatriz Estupiñan Alavrez","REFERENTES TEÓRICOS QUE SUSTENTAN EL USO DE LOS EVEAs COMO ALTERNATIVA METODOLÓGICA PARA DESARROLLAR LA COMPRENSIÓN AUDITIVA."
"Amparo Matos Reyes","REFERENTES TEÓRICOS QUE SUSTENTAN EL USO DE LOS EVEAs COMO ALTERNATIVA METODOLÓGICA PARA DESARROLLAR LA COMPRENSIÓN AUDITIVA."
"Eldris Rivero Bazán","REFERENTES TEÓRICOS QUE SUSTENTAN EL USO DE LOS EVEAs COMO ALTERNATIVA METODOLÓGICA PARA DESARROLLAR LA COMPRENSIÓN AUDITIVA."
"Lic. Niurka Hernández Hernández","Comportamiento de las lesiones no intencionales en niños de 1-4 años"
"Lic. Niurka Hernández Hernández","Actuación de enfermería en poblaciones vulnerables"
"Yaité Hernández Amaro","Actuación de enfermería en poblaciones vulnerables"
"MSc María Elena Estévez Trabanco","Actuación de enfermería en poblaciones vulnerables"
"Caridad Vega Rodríguez","Actuación de enfermería en poblaciones vulnerables"
"MSc Dayami Ribalta Naranjo","Actuación de enfermería en poblaciones vulnerables"
"Dr. C. Juan Fundora Lliteras","Vygotsky y la Inteligencia Artificial: el docente como creador de herramientas mediadoras."
"Dra. C. Isis Betancourt Torres","Vygotsky y la Inteligencia Artificial: el docente como creador de herramientas mediadoras."
"MSc. René Mena Mugica","Vygotsky y la Inteligencia Artificial: el docente como creador de herramientas mediadoras."
"Abdul-Rashid Dasana Abdulai","Vygotsky y la Inteligencia Artificial: el docente como creador de herramientas mediadoras."
"MSc. Yoimy Claro Abreu","Vygotsky y la Inteligencia Artificial: el docente como creador de herramientas mediadoras."
"Armando David Martínez Rotella","Los Servicios Científico-tecnológicos un aporte a la Salud y la Seguridad de los trabajadores."
"Mc.S Dra. Lilian Valdivia García","Ayuno preoperatorio prolongado estudio fenomenológico con pacientes adultos programados para cirugía electiva."
"MsC. Maida Rancel Hernández","Prevalencia de síntomas de ansiedad según variables  sociodemográficas en adultos habaneros."
"DraC.  Mercedes  Esquivel Lauzurique","Prevalencia de síntomas de ansiedad según variables  sociodemográficas en adultos habaneros."
"MSc. Vilma Tamayo Pérez","Prevalencia de síntomas de ansiedad según variables  sociodemográficas en adultos habaneros."
"Lic. Rosmery Sánchez Meralla","Prevalencia de síntomas de ansiedad según variables  sociodemográficas en adultos habaneros."
"Dra. Yeneir Vera Fernández","Prevalencia de síntomas de ansiedad según variables  sociodemográficas en adultos habaneros."
"Hermes Fundora Hernandez","Evaluación sonografica del timo en sujetos aparentemente sanos de 7 a 14 años y de 18 a 22 años de edad."
"Katia Rodríguez Gutierrez","Evaluación sonografica del timo en sujetos aparentemente sanos de 7 a 14 años y de 18 a 22 años de edad."
"Regla C. Stuart Rodríguez","Evaluación sonografica del timo en sujetos aparentemente sanos de 7 a 14 años y de 18 a 22 años de edad."
"Yuliet Rodríguez Hernandez","Evaluación sonografica del timo en sujetos aparentemente sanos de 7 a 14 años y de 18 a 22 años de edad."
"Hermidia Ricardo Pereira","Evaluación sonografica del timo en sujetos aparentemente sanos de 7 a 14 años y de 18 a 22 años de edad."
"DrC. Roberto Rodriguez Travieso","Sistema de superación profesional para el mejoramiento del desempeño investigativo de docentes de ciencias médicas"
"Bárbara Lázara Hernández González","Sistema de superación profesional para el mejoramiento del desempeño investigativo de docentes de ciencias médicas"
"Sulami Fleites Rivero","Sistema de superación profesional para el mejoramiento del desempeño investigativo de docentes de ciencias médicas"
"MSc. Yataria Abreu Vázquez","Sistema de superación profesional para el mejoramiento del desempeño investigativo de docentes de ciencias médicas"
"José Manuel Cepero Barriso","Información inicial sobre el proyecto de investigación: “Estrategia de superación desde el uso del aula virtual”"
"René Arenas Gutiérrez","Información inicial sobre el proyecto de investigación: “Estrategia de superación desde el uso del aula virtual”"
"René Arenas Gutiérrez","Información inicial sobre el proyecto de investigación: “Estrategia de superación desde el uso del aula virtual”"
"María Magaly González Díaz","Información inicial sobre el proyecto de investigación: “Estrategia de superación desde el uso del aula virtual”"
"Marilyn Fleitas Amaro",""MÁS ALLÁ DE LA BIOLOGÍA: CÓMO LA ESTRUCTURA DE CLASES DETERMINA EL PROCESO SALUD-ENFERMEDAD""
"Anahy Molinet Buides",""MÁS ALLÁ DE LA BIOLOGÍA: CÓMO LA ESTRUCTURA DE CLASES DETERMINA EL PROCESO SALUD-ENFERMEDAD""
"Bárbara Lázara Hernández González","Evaluación de impacto de herramienta metodológica de ayuda a la confección de programas de superación profesional, en el desempeño docente de los profesores. Facultad “Julio Trigo”, 2020-2025."
"Violeta González González","Evaluación de impacto de herramienta metodológica de ayuda a la confección de programas de superación profesional, en el desempeño docente de los profesores. Facultad “Julio Trigo”, 2020-2025."
"Dania Isabel Brito Menéndez","Evaluación de impacto de herramienta metodológica de ayuda a la confección de programas de superación profesional, en el desempeño docente de los profesores. Facultad “Julio Trigo”, 2020-2025."
"Kely Rivero Dominguez","Evaluación de impacto de herramienta metodológica de ayuda a la confección de programas de superación profesional, en el desempeño docente de los profesores. Facultad “Julio Trigo”, 2020-2025."
"Miriam Katriuska Castro Ortega","Evaluación de impacto de herramienta metodológica de ayuda a la confección de programas de superación profesional, en el desempeño docente de los profesores. Facultad “Julio Trigo”, 2020-2025."
"Dr. C. Juan Fundora Lliteras","Estrategia interventiva para el desarrollo de la actividad científica investigadora de la Facultad."
"Yaritza Jova Linares","Estrategia interventiva para el desarrollo de la actividad científica investigadora de la Facultad."
"MSc. René Mena Mugica","Estrategia interventiva para el desarrollo de la actividad científica investigadora de la Facultad."
"DrC. Roberto Rodriguez Travieso","Estrategia interventiva para el desarrollo de la actividad científica investigadora de la Facultad."
"MSc. René Mena Mugica","Uso de herramientas de inteligencia artificial en la investigacion científica en Cuba."
"Dr. C. Juan Fundora Lliteras","Uso de herramientas de inteligencia artificial en la investigacion científica en Cuba."
"Ana Ivis Estrada Casteleiro","Uso de herramientas de inteligencia artificial en la investigacion científica en Cuba."
"Ana Ivis Estrada Casteleiro","Intervención educativa en pacientes con Diabetes mellitus tipo II del municipio Arroyo Naranjo"
"Elisa María Puentes Rizo","Intervención educativa en pacientes con Diabetes mellitus tipo II del municipio Arroyo Naranjo"
"MSc. René Mena Mugica","Intervención educativa en pacientes con Diabetes mellitus tipo II del municipio Arroyo Naranjo"
"Daimarelis Guerra del Valle","Estrategia de capacitación para el desempeño laboral de trabajadores expuestos a riesgos biológicos"
"DrC. Yanet Ortega Dugrot","Estrategia de capacitación para el desempeño laboral de trabajadores expuestos a riesgos biológicos"
"Dr. C. Susana Solis Solis","Estrategia de capacitación para el desempeño laboral de trabajadores expuestos a riesgos biológicos"
"Ricardo Fernández Rodríguez","Migración a software libre de la series multimedia Cardiologia I Ruidos y Soplos Cardiacos y Cardiología II arritmiad cardiacas"
"René Arenas Gutiérrez","Migración a software libre de la series multimedia Cardiologia I Ruidos y Soplos Cardiacos y Cardiología II arritmiad cardiacas"
"Dr. C. Sonia Rabelo Padua","Migración a software libre de la series multimedia Cardiologia I Ruidos y Soplos Cardiacos y Cardiología II arritmiad cardiacas"
"Katia C. García Hernández","Migración a software libre de la series multimedia Cardiologia I Ruidos y Soplos Cardiacos y Cardiología II arritmiad cardiacas"
"Kely Rivero Dominguez","Migración a software libre de la series multimedia Cardiologia I Ruidos y Soplos Cardiacos y Cardiología II arritmiad cardiacas"
"Marelys Beatriz Estupiñan Alavrez","Sistema de medios de enseñanza audiovisuales digitales para el desarrollo de la compresión auditiva."
"Ana Iris Testa González","Sistema de medios de enseñanza audiovisuales digitales para el desarrollo de la compresión auditiva."
"Ana Margarita Fuertes Elizarde","Sistema de medios de enseñanza audiovisuales digitales para el desarrollo de la compresión auditiva."
"Amparo Matos Reyes","Sistema de medios de enseñanza audiovisuales digitales para el desarrollo de la compresión auditiva."
"Eldris Rivero Bazán","Sistema de medios de enseñanza audiovisuales digitales para el desarrollo de la compresión auditiva."
"MsC. Dra. Lilian Valdivia García","Estrategia educativa al equipo multidisciplinario acerca del ayuno preoperatorio"
"Ana Iris Testa González","LABORATORIO NEWCLASS COMO RECURSO DE APOYO AL DESARROLLO DE LA HABILIDAD DE COMPRENSION AUDITIVA"
"Raúl Daniel Valdés Velázquez","LABORATORIO NEWCLASS COMO RECURSO DE APOYO AL DESARROLLO DE LA HABILIDAD DE COMPRENSION AUDITIVA"
"Laura Lliteras Achang","LABORATORIO NEWCLASS COMO RECURSO DE APOYO AL DESARROLLO DE LA HABILIDAD DE COMPRENSION AUDITIVA"
"Ana Iris Testa González","COMPENDIO DE VIDEOS PARA EL DESARROLLO DE LA HABILIDAD DE COMPRENSION AUDITIVA"
"Marelys Beatriz Estupiñan Alavrez","COMPENDIO DE VIDEOS PARA EL DESARROLLO DE LA HABILIDAD DE COMPRENSION AUDITIVA"
"Ana Margarita Fuertes Elizarde","COMPENDIO DE VIDEOS PARA EL DESARROLLO DE LA HABILIDAD DE COMPRENSION AUDITIVA"
"Amparo Matos Reyes","COMPENDIO DE VIDEOS PARA EL DESARROLLO DE LA HABILIDAD DE COMPRENSION AUDITIVA"
"Eldris Rivero Bazán","COMPENDIO DE VIDEOS PARA EL DESARROLLO DE LA HABILIDAD DE COMPRENSION AUDITIVA"
"Ángel Francisco López Aguilera","EVOLUCION DE LOS MODOS DE ACTUACION"
"Odalys Olano Tito","EVOLUCION DE LOS MODOS DE ACTUACION"
"Jaime Pintos Valluerca","EVOLUCION DE LOS MODOS DE ACTUACION"
"Ángel Francisco López Aguilera","¿El médico que se automedica? Modo de actuación estudiantes de 5to año Medicina"
"Juan Antonio Furones Mourelle","¿El médico que se automedica? Modo de actuación estudiantes de 5to año Medicina"
"MSc Dra Iliana Molina Nápoles","¿El médico que se automedica? Modo de actuación estudiantes de 5to año Medicina"
"Ángel Francisco López Aguilera","Mejoramiento del modo de actuación con relación a la automedicación en estudiantes de medicina."
"DrC. Roberto Rodriguez Travieso","Mejoramiento del modo de actuación con relación a la automedicación en estudiantes de medicina."
"Katia C. García Hernández","Mejoramiento del modo de actuación con relación a la automedicación en estudiantes de medicina."
"MSc. Julio Aguilera","La profesionalización de la disciplina Educación Física en 1ero y 2do años de la carrera de Medina en la Facultad Julio Trigo López"
"MSc. Javier Alfredo Romero Gonzalez","La profesionalización de la disciplina Educación Física en 1ero y 2do años de la carrera de Medina en la Facultad Julio Trigo López"
"MSc. Javier Alfredo Romero Gonzalez","Enseñanza productiva en Educación Física para Ciencias Médicas en semipresencialidad: perspectivas globales, latinoamericanas y su implementación en el Plan E cubano"
"MSc. Julio Aguilera","Enseñanza productiva en Educación Física para Ciencias Médicas en semipresencialidad: perspectivas globales, latinoamericanas y su implementación en el Plan E cubano"
"DrC. Roberto Rodriguez Travieso","Enseñanza productiva en Educación Física para Ciencias Médicas en semipresencialidad: perspectivas globales, latinoamericanas y su implementación en el Plan E cubano"
"DrC. Yanet Ortega Dugrot","Evaluación de riesgos ergonómicos en el manejo de la colangiopancreatografía retrógrada endoscópica"
"DrC. Yulieth Suárez Oceguera","Evaluación de riesgos ergonómicos en el manejo de la colangiopancreatografía retrógrada endoscópica"
"DrC. Raúl Antonio Brizuela Quintanilla","Evaluación de riesgos ergonómicos en el manejo de la colangiopancreatografía retrógrada endoscópica"
"DrC. Yanet Ortega Dugrot","VALIDEZ DE CONTENIDO PARA LA IDENTIFICACIÓN DE RIESGOS LABORALES Y ERGONÓMICOS EN EL MANEJO DE LA COLANGIOPANCREATOGRAFÍA RETRÓGRADA ENDOSCÓPICA"
"Daimarelis Guerra del Valle","VALIDEZ DE CONTENIDO PARA LA IDENTIFICACIÓN DE RIESGOS LABORALES Y ERGONÓMICOS EN EL MANEJO DE LA COLANGIOPANCREATOGRAFÍA RETRÓGRADA ENDOSCÓPICA"
"Dr. C. Susana Solis Solis","VALIDEZ DE CONTENIDO PARA LA IDENTIFICACIÓN DE RIESGOS LABORALES Y ERGONÓMICOS EN EL MANEJO DE LA COLANGIOPANCREATOGRAFÍA RETRÓGRADA ENDOSCÓPICA"
"DrC. Yanet Ortega Dugrot","Título: Percepción del riesgo ergonómico en los procederes ópticos-optométricos"
"MSc. Jacqueline Fidelina Valdivieso Romero","Título: Percepción del riesgo ergonómico en los procederes ópticos-optométricos"
"MSc. Yamilet de la Caridad Hernández López","Título: Percepción del riesgo ergonómico en los procederes ópticos-optométricos"
"DrC. Yanet Ortega Dugrot","Percepción del riesgo ergonómico en los procederes ópticos-optométricos"
"MSc. Jacqueline Fidelina Valdivieso Romero","Percepción del riesgo ergonómico en los procederes ópticos-optométricos"
"Yanet Pérez Orue","Enseñanza de la anatomía en el siglo XXI: evolución histórica, innovación tecnológica y desafíos éticos"
"Yanisel Ortiz Palma","Enseñanza de la anatomía en el siglo XXI: evolución histórica, innovación tecnológica y desafíos éticos"
"Ionmara Tadeo Oropesa","Enseñanza de la anatomía en el siglo XXI: evolución histórica, innovación tecnológica y desafíos éticos"
"Yomaida Milian Romero","Enseñanza de la anatomía en el siglo XXI: evolución histórica, innovación tecnológica y desafíos éticos"
"Yanet Pérez Orue","Enseñanza de la anatomía en el siglo XXI: evolución histórica, innovación tecnológica y desafíos éticos"
"Yanisel Ortiz Palma","Enseñanza de la anatomía en el siglo XXI: evolución histórica, innovación tecnológica y desafíos éticos"
"Ionmara Tadeo Oropesa","Enseñanza de la anatomía en el siglo XXI: evolución histórica, innovación tecnológica y desafíos éticos"
"Yomaida Milian Romero","Enseñanza de la anatomía en el siglo XXI: evolución histórica, innovación tecnológica y desafíos éticos"
"Anahy Molinet Buides","Virtualización: estrategia didáctica potenciadora del aprendizaje desarrollador en profedionales de la salud de amplio perfil"
"Marilin Fleitas Amaro","Virtualización: estrategia didáctica potenciadora del aprendizaje desarrollador en profedionales de la salud de amplio perfil"
"Yanet Pérez Oruè","Virtualización: estrategia didáctica potenciadora del aprendizaje desarrollador en profedionales de la salud de amplio perfil"
"Yanisel Ortiz Palma","Virtualización: estrategia didáctica potenciadora del aprendizaje desarrollador en profedionales de la salud de amplio perfil"
"Yomaida Milian Romero","Virtualización: estrategia didáctica potenciadora del aprendizaje desarrollador en profedionales de la salud de amplio perfil"
"Anahy Molinet Buides","Virtualización:estrategia didáctica potenciadora del aprendizaje desarrollador"
"Marilin Fleitas Amaro","Virtualización:estrategia didáctica potenciadora del aprendizaje desarrollador"
"Yanet Pérez Oruè","Virtualización:estrategia didáctica potenciadora del aprendizaje desarrollador"
"Yanisel Ortiz Palma","Virtualización:estrategia didáctica potenciadora del aprendizaje desarrollador"
"Yomaida Milian Romero","Virtualización:estrategia didáctica potenciadora del aprendizaje desarrollador"
"DrC. Roberto Rodriguez Travieso","Modelo para el mejoramiento del desempeño investigativo"
"Tamara Piñón Fiallo","Modelo para el mejoramiento del desempeño investigativo"
"María Teresa García Negrín","Modelo para el mejoramiento del desempeño investigativo"
"Yataria Abreu Velázquez","Modelo para el mejoramiento del desempeño investigativo"
"Dania Isabel Brito Menéndez","Modelo para el mejoramiento del desempeño investigativo"
"DrC. Roberto Rodriguez Travieso","Valoración del desempeño investigativo 2024-2025"
"Yaritza Jova Linares","Valoración del desempeño investigativo 2024-2025"
"Maritza Díaz Molleda","Valoración del desempeño investigativo 2024-2025"
"Antonia Zenaida Sánchez Proenza","Valoración del desempeño investigativo 2024-2025"
"María Antonia Rodríguez Hernández","Valoración del desempeño investigativo 2024-2025"
"DrC. Roberto Rodriguez Travieso","Validación de instrumentos para medir el desempeño investigativo"
"Dr. C. Juan Fundora Lliteras","Validación de instrumentos para medir el desempeño investigativo"
"MSc. René Mena Mugica","Validación de instrumentos para medir el desempeño investigativo"
"Idia Isabel Araujo Verdecia","Validación de instrumentos para medir el desempeño investigativo"
"Dra. C. Isis Betancourt Torres","Validación de instrumentos para medir el desempeño investigativo"
"DrC. Roberto Rodriguez Travieso","Diplomado: desempeño investigativo y profesionalización"
"Dr. C. Juan Fundora Lliteras","Diplomado: desempeño investigativo y profesionalización"
"Laura Caridad Hurtado Gascón","Diplomado: desempeño investigativo y profesionalización"
"Idia Isabel Araujo Verdecia","Diplomado: desempeño investigativo y profesionalización"
"Dra. C. Isis Betancourt Torres","Diplomado: desempeño investigativo y profesionalización"
