Participante,Título del Resumen
"Ángel Francisco López Aguilera","Propuesta de intervención educativa sobre automedicación en estudiantes de Enfermería"
"Marta Calvo Diaz","Propuesta de intervención educativa sobre automedicación en estudiantes de Enfermería"
"Gabriela Vento Diaz","Estrategia de superación intencionada para la educación de la autonomía del adulto mayor en la medicina familiar comunitaria."
"Maritza Díaz Molleda","Estrategia de superación intencionada para la educación de la autonomía del adulto mayor en la medicina familiar comunitaria."
"Ángel Francisco López Aguilera","Estrategia de superación intencionada para la educación de la autonomía del adulto mayor en la medicina familiar comunitaria."
"Dra. C. Isis Betancourt Torres","Interdisciplinariedad en la concepción del proceso pedagógico en la carrera de medicina"
"Lourdes B. Alpízar Caballero","Interdisciplinariedad en la concepción del proceso pedagógico en la carrera de medicina"
"Yaneysi Betancourt Vázquez","Interdisciplinariedad en la concepción del proceso pedagógico en la carrera de medicina"
"Niobis Munder Fuentes","Interdisciplinariedad en la concepción del proceso pedagógico en la carrera de medicina"
"Tania M. Pérez Valladares","Interdisciplinariedad en la concepción del proceso pedagógico en la carrera de medicina"
"Lic. Rosa Mayelín González Piedra.","Factores de riesgos laborales en la unidad de comercialización de  Combustibles, servicentro "La Granjita", 2026."
"Lic. Yoslaydis Manferrol Galán","Factores de riesgos laborales en la unidad de comercialización de  Combustibles, servicentro "La Granjita", 2026."
"Lic.  Griselda Reyes Ramírez","Factores de riesgos laborales en la unidad de comercialización de  Combustibles, servicentro "La Granjita", 2026."
"Lic. Iskra Marcos Armenteros","Caracterización clínica epidemiológica en lactantes con Sospecha de Dengue ingresados en Cuidados intensivos. Hospital Aballí, 2022"
"MSc. Yamilet de la Caridad Hernández López","Caracterización clínica epidemiológica en lactantes con Sospecha de Dengue ingresados en Cuidados intensivos. Hospital Aballí, 2022"
"Lic. Yeneisy San Martin Cuesta","Caracterización clínica epidemiológica en lactantes con Sospecha de Dengue ingresados en Cuidados intensivos. Hospital Aballí, 2022"
"MSc. Oscar Sánchez Castillo","Caracterización clínica epidemiológica en lactantes con Sospecha de Dengue ingresados en Cuidados intensivos. Hospital Aballí, 2022"
"MSc. Ana Rosa Zulueta Alejo","Caracterización clínica epidemiológica en lactantes con Sospecha de Dengue ingresados en Cuidados intensivos. Hospital Aballí, 2022"
"MSc Dr Carlos Juan Paradela Ferrera","APS y PAMI espacios estratégicos para mejorar la calidad de la docencia medica"
"MSc Dra Iliana Molina Nápoles","APS y PAMI espacios estratégicos para mejorar la calidad de la docencia medica"
"Leandra Magaly Garcia Polo","APS y PAMI espacios estratégicos para mejorar la calidad de la docencia medica"
"Dra C Zenaida Sánchez","APS y PAMI espacios estratégicos para mejorar la calidad de la docencia medica"
"MSc Dra Annia Robaina","APS y PAMI espacios estratégicos para mejorar la calidad de la docencia medica"
"Andrés Armando Morilla Guzmán","Recién nacido con síndrome de abstinencia neonatal en hijos de madres consumidoras de sustancias psicoactivas"
"MSc. Vilma Tamayo Pérez","Recién nacido con síndrome de abstinencia neonatal en hijos de madres consumidoras de sustancias psicoactivas"
"Lyanet  Rosabal Vior (1)","Recién nacido con síndrome de abstinencia neonatal en hijos de madres consumidoras de sustancias psicoactivas"
"Marlys Santana Noda (1)","Recién nacido con síndrome de abstinencia neonatal en hijos de madres consumidoras de sustancias psicoactivas"
"Angelicia Crespo Campos (1)","Recién nacido con síndrome de abstinencia neonatal en hijos de madres consumidoras de sustancias psicoactivas"
"MSc. Vilma Tamayo Pérez","Evaluación de la calidad de la consulta de puericultura. La Habana, 2026-2027."
"DraC.  Mercedes  Esquivel Lauzurique","Evaluación de la calidad de la consulta de puericultura. La Habana, 2026-2027."
"MsC. Maida Rancel Hernández","Evaluación de la calidad de la consulta de puericultura. La Habana, 2026-2027."
"Andrés Armando Morilla Guzmán","Evaluación de la calidad de la consulta de puericultura. La Habana, 2026-2027."
"Yaritza Jova Linares","Evaluación de la calidad de la consulta de puericultura. La Habana, 2026-2027."
"DrC Lic. Leister Acosta Queralta","Estrategia educativa para el desarrollo de habilidades en la prevención del uso de drogas en adolescentes y jóvenes."
"MsC Dra.Tamara Vilches Juanes","Estrategia educativa para el desarrollo de habilidades en la prevención del uso de drogas en adolescentes y jóvenes."
"Iliana Molina Nápoles","Estrategia educativa para el desarrollo de habilidades en la prevención del uso de drogas en adolescentes y jóvenes."
"Barbara Rodríguez","Estrategia educativa para el desarrollo de habilidades en la prevención del uso de drogas en adolescentes y jóvenes."
"Maidelys Fernández Bringas","Estrategia educativa para el desarrollo de habilidades en la prevención del uso de drogas en adolescentes y jóvenes."
"María Antonia Rodríguez Hernández","Validación de la dimensión Formación Académica en un modelo para mejorar el desempeño científico metodológico e investigativo docente odelo"
"Ania Estrada Velázquez","Validación de la dimensión Formación Académica en un modelo para mejorar el desempeño científico metodológico e investigativo docente odelo"
"DrC. Roberto Rodriguez Travieso","Validación de la dimensión Formación Académica en un modelo para mejorar el desempeño científico metodológico e investigativo docente odelo"
"Dr Abel Soubal Ferrer","Predictores de mortalidad en infarto agudo del miocardio en el Hospital “Julio Trigo López""
"Dra Isabel Masso Capó","Predictores de mortalidad en infarto agudo del miocardio en el Hospital “Julio Trigo López""
"Dra Maryuris Alejandro Grana","Predictores de mortalidad en infarto agudo del miocardio en el Hospital “Julio Trigo López""
"René Arenas Gutiérrez","Software educativo : charlas educativas de pediatría"
"Laura Lliteras Achang","Software educativo : charlas educativas de pediatría"
"Lizt Aurora Guzmán López","Software educativo : charlas educativas de pediatría"
"Maura Perdomo Ortiz","Software educativo : charlas educativas de pediatría"
"Dra Zoraida Gutierrez Reyes","Software educativo : charlas educativas de pediatría"
"MSc Aymara Mesa Cañizares","Programa Educativo en factores  de  riesgo  laboral  para  trabajadores  del  Área de  salud  Julián  Grimau"
"MSc María de los Ángeles Rodríguez Martínez","Programa Educativo en factores  de  riesgo  laboral  para  trabajadores  del  Área de  salud  Julián  Grimau"
"Dr.Luis Enrique Calzada Matos","Programa Educativo en factores  de  riesgo  laboral  para  trabajadores  del  Área de  salud  Julián  Grimau"
"Lic.Yaniury Milian Leal","Programa Educativo en factores  de  riesgo  laboral  para  trabajadores  del  Área de  salud  Julián  Grimau"
"María Antonia Rodríguez Hernández","Orientación profesional para el desempeño investigativo de los futuros médicos"
"MSc María Elena Estévez Trabanco","Curso para la atención de enfermería al paciente quirúrgico en la atención secundaria."
"MSc Dayami Ribalta Naranjo","Curso para la atención de enfermería al paciente quirúrgico en la atención secundaria."
"Dr Félix Rivero Llerena","Curso para la atención de enfermería al paciente quirúrgico en la atención secundaria."
"Verónica Ramos Suárez","El cuestionario como elemento dinamizador del conocimiento en el aula virtual"
"Verónica Ramos Suárez","La seguridad de la información científica en los entornos virtuales"
"Verónica Ramos Suárez","Perspectiva de los procederes tecnológicos de IRF"
"Ana Mirtha Aguirre Isaac","Perspectiva de los procederes tecnológicos de IRF"
"Antonio Ernesto Pérez Mérida","Perspectiva de los procederes tecnológicos de IRF"
"Rolando Wilson Calderin","Perspectiva de los procederes tecnológicos de IRF"
"MsC Dra Omaida F Torres Herrera","Relación entre forunculosis recurrente por Staphylococcus aureus,  hiperuricemia y resistencia a la insulina."
"Dra C . Gilda Monteagudo Peña","Relación entre forunculosis recurrente por Staphylococcus aureus,  hiperuricemia y resistencia a la insulina."
"Dr C Amilcar Duquesne Alderete","Relación entre forunculosis recurrente por Staphylococcus aureus,  hiperuricemia y resistencia a la insulina."
"Daimarelis Guerra del Valle","Impacto ambiental y bioseguridad frente al cambio climático"
"DrC. Yanet Ortega Dugrot","Impacto ambiental y bioseguridad frente al cambio climático"
"Dr. C. Susana Solis Solis","Impacto ambiental y bioseguridad frente al cambio climático"
"MSc Dra.Tamara Vilches Juanes","Uso de actividades en Moodle como apoyo a la docencia de la Farmacología General."
